kickX,kickY,kickAngle,goalZ,outcome,kickPleas,kickArou,goalPleas,goalArou
1.052616,-0.053549,-36.000000,0.201785,O,-0.757196,-0.368711,0.702184,0.264786
1.087285,0.118612,30.000000,-0.446710,O,-0.714360,-0.257337,0.946956,-0.625295
1.077467,0.094548,20.000000,-0.253155,L,-0.400000,0.237012,0.753398,0.078551
1.093037,0.117664,32.000000,0.404388,O,-0.735893,-0.313323,0.095463,-0.471042
1.054593,0.079447,8.000000,0.196047,G,1.000000,0.659391,-0.536459,0.287816
1.057574,0.074163,6.000000,0.404337,G,1.000000,0.738110,-0.666674,-0.471939
1.045669,-0.022355,-26.000000,-0.102501,O,-0.623856,-0.022027,0.397567,0.627518
1.096885,0.122304,32.000000,0.397992,O,-0.744242,-0.335028,0.101322,-0.449737
1.068010,0.094656,18.000000,0.400546,G,1.000000,0.607229,-0.793327,-0.456566
1.048779,0.008957,-16.000000,0.450144,D,-0.300000,0.379869,1.000000,-0.638624
1.054068,-0.044100,-32.000000,0.504216,O,-0.642469,-0.070419,1.004524,-0.834633
1.047589,-0.000081,-20.000000,-0.097524,R,-0.400000,0.371068,0.402434,0.645213
1.048438,-0.025526,-28.000000,0.201549,O,-0.617546,-0.005619,0.701659,0.266694
1.051319,-0.017884,-24.000000,0.352846,R,-0.400000,0.291748,0.853005,-0.283655
1.083018,0.172147,22.000000,0.204129,O,-0.565881,0.128710,0.296045,0.258347
1.056867,-0.042397,-34.000000,0.199614,O,-0.701879,-0.224886,0.699418,0.274843
1.048384,-0.000120,-18.000000,-0.195719,G,1.000000,0.445871,-0.750778,0.284913
1.043001,0.015943,-14.000000,0.047556,G,0.861691,0.521711,-0.430846,0.827479
1.024611,0.119192,-2.000000,0.304444,G,0.560402,0.975880,-0.280201,-0.106620
1.045139,0.057948,0.000000,0.100870,G,0.292826,0.954289,-0.146413,0.633809
1.058238,-0.049556,-36.000000,-0.154203,O,-0.731109,-0.300883,0.345377,0.437736
1.065643,0.091757,14.000000,-0.351135,G,0.465982,0.415318,-0.232991,-0.278878
1.083663,0.105521,26.000000,0.200838,O,-0.623230,-0.020398,0.298654,0.267833
1.068480,0.087996,14.000000,-0.147182,G,0.832629,0.435867,-0.416314,0.462478
1.054829,-0.049953,-36.000000,-0.295553,O,-0.742081,-0.329412,0.203821,-0.077015
1.043140,0.015064,-14.000000,-0.501143,G,1.000000,0.389064,-1.000000,-0.821625
1.044700,-0.003757,-20.000000,0.450394,D,-0.300000,0.387088,1.000000,-0.637529
1.081458,0.171041,20.000000,0.194651,O,-0.557775,0.149784,0.304834,0.290305
1.084403,0.114387,26.000000,0.099096,O,-0.636628,-0.055233,0.400869,0.639523
1.049433,0.014991,-14.000000,-0.048694,G,0.982548,0.556541,-0.491274,0.826127
1.084905,0.107754,26.000000,0.497316,O,-0.562831,0.136639,0.001920,-0.811201
1.048724,-0.019533,-24.000000,0.198502,O,-0.566948,0.125935,0.697912,0.280320
1.064601,0.093764,14.000000,-0.096011,G,1.000000,0.380892,-0.522789,0.649747
1.040998,0.039735,-8.000000,0.500443,G,0.523848,0.761973,-0.261924,-0.818002
1.047476,0.005220,-16.000000,0.451722,D,-0.300000,0.550151,1.000000,-0.642589
1.102142,0.124651,36.000000,-0.251844,O,-0.827018,-0.550246,0.751994,0.083658
1.045393,0.038836,-6.000000,-0.296094,G,1.000000,0.761829,-0.534384,-0.077140
1.050429,-0.023542,-26.000000,0.103920,O,-0.579949,0.092133,0.603896,0.622196
1.081066,0.108803,26.000000,-0.004025,O,-0.661525,-0.119965,0.502831,0.989706
1.049046,-0.052243,-36.000000,0.454739,O,-0.756364,-0.366547,0.955040,-0.654691
